Región;PIB 2021 (*);Empresas;Trab_Dep_Inf_GFemenino (UF);Trab_Dep_Inf_GMasculino (UF);Vegetación Visible (**)
Región de Arica y Parinacota;1561,28;-0,49876;-0,37234;-0,39475;poca
Región de Tarapacá;4811,17;-0,44930;-0,35021;-0,35480;poca
Región de Antofagasta;16202,73;-0,33640;-0,30070;-0,27414;poca
Región de Atacama;3913,44;-0,47351;-0,36248;-0,35874;poca
Región de Coquimbo;6159,73;-0,23458;-0,26685;-0,26991;poca
Región de Valparaíso;14294,63;0,34210;0,01375;0,05674;normal
Región Metropolitana de Santiago;82857,68;3,62781;3,72115;3,71287;normal
Región del Libertador General Bernardo OHiggins;8335,61;-0,09750;-0,11314;-0,12230;normal
Región del Maule;7504,43;0,03493;-0,11257;-0,10909;normal
Región de Ñuble;2590,23;-0,35835;-0,30057;-0,32923;normal
Región del Biobío;12488,67;0,11302;-0,07016;-0,02728;mucha
Región de La Araucanía;5680,18;-0,13328;-0,21164;-0,22141;mucha
Región de Los Ríos;2670,84;-0,40323;-0,34065;-0,35834;mucha
Región de Los Lagos;6547,8;-0,09689;-0,17917;-0,15628;mucha
Región de Aysén del General Carlos Ibáñez del Campo;1191;-0,53471;-0,39010;-0,41197;mucha
Región de Magallanes y de la Antártica Chilena;1885,21;-0,50134;-0,36432;-0,38135;mucha
